country,year,value
China,2024,18743803170827.2
China,2023,18270356654533.2
China,2022,18316765021690.2
China,2021,18201698719564.0
China,2020,14996414166715.1
China,2019,14560167101283.4
China,2018,14147765772963.8
China,2017,12537559062282.9
China,2016,11456024084962.0
China,2015,11280814787468.9
China,2014,10674533168257.4
China,2013,9743124247267.24
China,2012,8673664713189.24
China,2011,7671757207851.29
China,2010,6192564874453.29
China,2009,5189577094997.58
China,2008,4667346414521.95
China,2007,3604055822571.63
China,2006,2791498472804.33
China,2005,2317551298052.05
China,2004,1984196551300.44
China,2003,1683903309843.85
China,2002,1489821682050.54
China,2001,1355036590251.52
China,2000,1223754919971.05
United States,2024,28750956130731.2
United States,2023,27292170793214.4
United States,2022,25604848907611.0
United States,2021,23315080560000.0
United States,2020,21060473613000.0
United States,2019,21380976119000.0
United States,2018,20533057312000.0
United States,2017,19477336549000.0
United States,2016,18695110842000.0
United States,2015,18206020741000.0
United States,2014,17550680174000.0
United States,2013,16843190993000.0
United States,2012,16253972230000.0
United States,2011,15599728123000.0
United States,2010,15048964444000.0
United States,2009,14478064934000.0
United States,2008,14769857911000.0
United States,2007,14474226905000.0
United States,2006,13815586948000.0
United States,2005,13039199193000.0
United States,2004,12217193198000.0
United States,2003,11456442041000.0
United States,2002,10929112955000.0
United States,2001,10581929774000.0
United States,2000,10250947997000.0
