text,title,source,timestamp,url,author,firm
"Found Health Claims Evaluated: Affordable GLP-1 Weight Loss Medication Provider with Free Online Insurance Check Found Health's GLP-1 program, insurance check, Wegovy, Zepbound, Ozempic access, compounded options, and 2026 pricing structure — evaluated....",Found Health Claims Evaluated: Affordable GLP-1 Weight Loss Medication Provider with Free Online Insurance Check,NewsAPI,2026-04-08 21:25:00+00:00,https://www.globenewswire.com/news-release/2026/04/08/3270578/0/en/Found-Health-Claims-Evaluated-Affordable-GLP-1-Weight-Loss-Medication-Provider-with-Free-Online-Insurance-Check.html,Found Health,Novo Nordisk A/S
"FDA approves Wegovy-like GLP-1 pill, Foundayo, for weight loss Under the new priority voucher program (CNPV), the FDA has approved a new oral GLP-1 drug, Foundayo, offering an alternative to Wegovy and injectable GLP-1s for weight loss.","FDA approves Wegovy-like GLP-1 pill, Foundayo, for weight loss",NewsAPI,2026-04-08 14:45:00+00:00,https://www.medicalnewstoday.com/articles/fda-approves-oral-glp-1-pill-foundayo-for-weight-loss,Peter Morales-Brown,Novo Nordisk A/S
"Is Ozempic causing hair fall? The side effect no one talks about If you’ve been anywhere near health or beauty conversations lately, you’ve probably heard of Ozempic - the diabetes medication that somehow became the internet’s most talked-about weight loss trend. But along with the dramatic transformations and “before-afte…",Is Ozempic causing hair fall? The side effect no one talks about,NewsAPI,2026-04-08 07:52:02+00:00,https://timesofindia.indiatimes.com/life-style/beauty/is-ozempic-causing-hair-fall-the-side-effect-no-one-talks-about/photostory/130106084.cms,ETimes.in,Novo Nordisk A/S
"Ozempic just got cheap enough to change the world By now, Ozempic needs no introduction in America. One in 8 American adults now takes a GLP-1 drug of some kind. But even as millions of people in wealthy countries have benefitted from these drugs, they have remained out of reach for most of the world. But fo…",Ozempic just got cheap enough to change the world,NewsAPI,2026-04-07 22:30:58+00:00,https://www.vox.com/future-perfect/484767/india-generic-semaglutide-ozempic,Pratik Pawar,Novo Nordisk A/S
Ozempic users who don't exercise given urgent warning A new study has resulted in a worrying insight for weight-loss jab users who don't bother leaving the couch,Ozempic users who don't exercise given urgent warning,NewsAPI,2026-04-07 18:34:54+00:00,https://www.ladbible.com/news/health/ozempic-users-exercise-urgent-warning-158774-20260407,Dan Seddon,Novo Nordisk A/S
Tom Brady Offers Discipline-Based Alternative to Ozempic Craze NFL star Tom Brady and former X CEO Linda Yaccarino are launching a venture that allows use of weight loss medicines in a sustainable way.,Tom Brady Offers Discipline-Based Alternative to Ozempic Craze,NewsAPI,2026-04-04 14:13:01+00:00,https://www.westernjournal.com/tom-brady-offers-discipline-based-alternative-ozempic-craze/,Michael Austin,Novo Nordisk A/S
"Ozempic goes generic: Are cheaper versions safe and effective? Mumbai-based bariatric and laparoscopic surgeon weighs in India faces rising diabetes and obesity rates. With new generic semaglutide versions emerging, experts warn about potential misuse and the importance of medical supervision. Safety, consistent quality, and informed use are crucial for effective diabetes and o…",Ozempic goes generic: Are cheaper versions safe and effective? Mumbai-based bariatric and laparoscopic surgeon weighs in,NewsAPI,2026-04-03 01:30:55+00:00,https://www.livemint.com/industry/ozempic-goes-generic-are-cheaper-versions-safe-and-effective-mumbai-based-bariatric-and-laparoscopic-surgeon-weighs-in-11775116646427.html,Nivedita,Novo Nordisk A/S
"A new weight-loss pill is here. Here's how Foundayo compares to Wegovy, Zepbound, and other GLP-1 rivals. The FDA has approved Foundayo, a new weight-loss pill that could give Eli Lilly an edge over other drugmakers. Here's how it compares to other GLP-1s.","A new weight-loss pill is here. Here's how Foundayo compares to Wegovy, Zepbound, and other GLP-1 rivals.",NewsAPI,2026-04-02 18:30:15+00:00,https://www.businessinsider.com/foundayo-vs-zepbound-wegovy-rybelsus-cost-insurance-side-effects-2026-4,Allie Kelly,Novo Nordisk A/S
"How Eli Lilly’s new GLP‑1 pill stacks up against Wegovy and other weight‑loss drugs This week the U.S. Food and Drug Administration approved a second GLP-1 pill for weight loss. The drug, called Foundayo, resulted in an average of 27 pounds lost in 72 weeks",How Eli Lilly’s new GLP‑1 pill stacks up against Wegovy and other weight‑loss drugs,NewsAPI,2026-04-02 18:00:00+00:00,https://www.scientificamerican.com/article/how-eli-lillys-new-glp-1-pill-stacks-up-against-wegovy-and-other-weight-loss/,Lauren J. Young,Novo Nordisk A/S
Emcure cuts semaglutide injection price by 55%; Abbott to act as well The generics priced their products between 50 to 80 per cent lower than the innovator’s price which has seen price cuts from the innovator,Emcure cuts semaglutide injection price by 55%; Abbott to act as well,NewsAPI,2026-04-02 16:08:36+00:00,https://www.thehindubusinessline.com/companies/emcure-cuts-semaglutide-injection-price-by-55-abbott-tipped-to-act-as-well/article70816536.ece,PT Jyothi Datta,Novo Nordisk A/S
"FDA approves new daily GLP-1 pill — what to know, including how they compare to Wegovy tablets This new tablet promises to be even more convenient than its predecessor with similar, if slightly less drastic, weight-trimming results.","FDA approves new daily GLP-1 pill — what to know, including how they compare to Wegovy tablets",NewsAPI,2026-04-02 15:33:01+00:00,https://nypost.com/2026/04/02/health/fda-approves-new-daily-glp-1-pill-how-they-compare-to-wegovy-tablets/,Emma Glassman-Hughes,Novo Nordisk A/S
"Emcure drops starting dose price on its semaglutide by 55% Emcure Pharmaceuticals reduces its semaglutide starting dose price by 55%, enhancing accessibility for obesity treatment in India.",Emcure drops starting dose price on its semaglutide by 55%,NewsAPI,2026-04-02 14:12:03+00:00,https://www.thehindubusinessline.com/companies/emcure-drops-starting-dose-price-on-its-semaglutide-by-55/article70815203.ece,PT Jyothi Datta,Novo Nordisk A/S
"Emcure slashes prices of weight management drug Poviztra by up to 55% Emcure Pharmaceuticals is making its weight management drug Poviztra more accessible. The price of the semaglutide injection will be cut by up to 55 percent. This change begins on April 3, 2026. The aim is to help more people manage obesity. This move support…",Emcure slashes prices of weight management drug Poviztra by up to 55%,NewsAPI,2026-04-02 14:09:53+00:00,https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/emcure-slashes-prices-of-weight-management-drug-poviztra-by-up-to-55/articleshow/129981567.cms,PTI,Novo Nordisk A/S
Wegovy® pill demonstrated greater weight loss than orforglipron and lower odds of stopping medication due to side effects in a new indirect comparison to be presented at Obesity Medicine Association 2026 Wegovy® pill demonstrated greater weight loss than orforglipron and lower odds of stopping medication due to side effects in a new indirect comparison to be presented at Obesity Medicine Association 2026prnewswire.com,Wegovy® pill demonstrated greater weight loss than orforglipron and lower odds of stopping medication due to side effects in a new indirect comparison to be presented at Obesity Medicine Association 2026,NewsAPI,2026-04-02 12:02:47+00:00,https://www.prnewswire.com/news-releases/wegovy-pill-demonstrated-greater-weight-loss-than-orforglipron-and-lower-odds-of-stopping-medication-due-to-side-effects-in-a-new-indirect-comparison-to-be-presented-at-obesity-medicine-association-2026-302732768.html,Novo Nordisk Inc.,Novo Nordisk A/S
"Eli Lilly’s weight-loss pill seen generating billions, challenging Novo Nordisk Eli Lilly’s Foundayo weight-loss pill is set to generate billions, challenging Novo Nordisk’s Wegovy as oral obesity drugs reshape a $180B market.","Eli Lilly’s weight-loss pill seen generating billions, challenging Novo Nordisk",NewsAPI,2026-04-02 11:48:00+00:00,https://www.thehindubusinessline.com/markets/stock-markets/eli-lillys-weight-loss-pill-seen-generating-billions-challenging-novo-nordisk/article70815493.ece,Reuters,Novo Nordisk A/S
FDA Approves Eli Lilly's GLP-1 Pill Eli Lilly’s once-daily Foundayo is the second obesity pill to receive FDA approval. It will compete with Novo Nordisk’s pill version of Wegovy.,FDA Approves Eli Lilly's GLP-1 Pill,NewsAPI,2026-04-01 18:56:03+00:00,https://www.wired.com/story/fda-approves-eli-lillys-glp-1-pill/,Emily Mullin,Novo Nordisk A/S
"Mint Explainer: What the weight-loss drug frenzy means for pharma sector and for you A price war has hit India’s weight-loss and diabetes drug market after semaglutide lost patent protection, pushing innovator Novo Nordisk to cut prices of Ozempic and Wegovy. Cheaper generics may widen access, but concerns over misuse are rising, prompting re…",Mint Explainer: What the weight-loss drug frenzy means for pharma sector and for you,NewsAPI,2026-04-01 10:06:05+00:00,https://www.livemint.com/companies/ozempic-wegovy-price-cut-india-generic-semaglutide-market-competition-11775030562975.html,Jessica Jani,Novo Nordisk A/S
Novo Nordisk shares rise after Wegovy recommended by Britain's drug price regulator The new recommendation will significantly expand access to Wegovy on the England's NHS.,Novo Nordisk shares rise after Wegovy recommended by Britain's drug price regulator,NewsAPI,2026-04-01 08:47:21+00:00,https://www.cnbc.com/2026/04/01/novo-nordisk-stock-wegovy-ozempic-nice-nhs-nvo.html,Elsa Ohlen,Novo Nordisk A/S
"Wegovy: Over one million Britons to be handed weight-loss drugs on NHS to prevent heart attacks and strokes More than one million Britons are to be given weight loss drugs on the NHS to prevent against heart attacks and strokes.The NHS spending watchdog, the National Institute for Health and Care Excellence (Nice), has said Britons with heart disease can now be pre…",Wegovy: Over one million Britons to be handed weight-loss drugs on NHS to prevent heart attacks and strokes,NewsAPI,2026-04-01 04:08:16+00:00,https://www.gbnews.com/health/wegovy-nhs-free-weight-loss-drugs-heart-attack-strokes,Peter Stevens,Novo Nordisk A/S
"Wegovy®▼(semaglutide injection) 2.4 mg recommended by NICE to reduce risk of major adverse cardiovascular events, including heart attacks and strokes, in adults with established cardiovascular disease and overweight or obesity (BMI ≥27 kg/m2)[1] The National Institute for Health and Care Excellence (NICE) recommended Wegovy® ▼(semaglutide injection) 2.4 mg as an option alongside reduced-calorie diet and increased physical activity to reduce risk of major adverse cardiovascular vents (MACE) (cardiovas…","Wegovy®▼(semaglutide injection) 2.4 mg recommended by NICE to reduce risk of major adverse cardiovascular events, including heart attacks and strokes, in adults with established cardiovascular disease and overweight or obesity (BMI ≥27 kg/m2)[1]",NewsAPI,2026-03-31 23:01:00+00:00,https://www.prnewswire.co.uk/news-releases/wegovysemaglutide-injection-2-4-mg-recommended-by-nice-to-reduce-risk-of-major-adverse-cardiovascular-events-including-heart-attacks-and-strokes-in-adults-with-established-cardiovascular-disease-and-overweight-or-obesity-bm-302730468.html,,Novo Nordisk A/S
"Novo Nordisk price cuts set to shake up India’s GLP-1 market, challenge generics Novo Nordisk is slashing prices for its diabetes and weight loss drugs Ozempic and Wegovy in India. This move aims to make these treatments more accessible to patients. Industry experts believe this will significantly impact competition. Novo Nordisk's establ…","Novo Nordisk price cuts set to shake up India’s GLP-1 market, challenge generics",NewsAPI,2026-03-31 18:24:17+00:00,https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/novo-nordisk-price-cuts-set-to-shake-up-indias-glp-1-market-challenge-generics/articleshow/129934550.cms,Rica Bhattacharyya,Novo Nordisk A/S
